"","Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
"1",1,2,2013-01-01,0,0,0,0,"a",1
"2",1,3,2013-01-02,5530,668,1,0,"0",1
"3",1,4,2013-01-03,4327,578,1,0,"0",1
"4",1,5,2013-01-04,4486,619,1,0,"0",1
"5",1,6,2013-01-05,4997,635,1,0,"0",1
"6",1,7,2013-01-06,0,0,0,0,"0",1
"7",1,1,2013-01-07,7176,785,1,1,"0",1
"8",1,2,2013-01-08,5580,654,1,1,"0",1
"9",1,3,2013-01-09,5471,626,1,1,"0",1
"10",1,4,2013-01-10,4892,615,1,1,"0",1
"11",1,5,2013-01-11,4881,592,1,1,"0",1
"12",1,6,2013-01-12,4952,646,1,0,"0",0
"13",1,7,2013-01-13,0,0,0,0,"0",0
"14",1,1,2013-01-14,4717,616,1,0,"0",0
"15",1,2,2013-01-15,3900,512,1,0,"0",0
"16",1,3,2013-01-16,4008,530,1,0,"0",0
"17",1,4,2013-01-17,4044,503,1,0,"0",0
"18",1,5,2013-01-18,4127,568,1,0,"0",0
"19",1,6,2013-01-19,5182,688,1,0,"0",0
"20",1,7,2013-01-20,0,0,0,0,"0",0
"21",1,1,2013-01-21,5394,607,1,1,"0",0
"22",1,2,2013-01-22,5720,667,1,1,"0",0
"23",1,3,2013-01-23,5578,627,1,1,"0",0
"24",1,4,2013-01-24,5195,645,1,1,"0",0
"25",1,5,2013-01-25,5586,676,1,1,"0",0
"26",1,6,2013-01-26,5598,640,1,0,"0",0
"27",1,7,2013-01-27,0,0,0,0,"0",0
"28",1,1,2013-01-28,4055,549,1,0,"0",0
"29",1,2,2013-01-29,3725,522,1,0,"0",0
"30",1,3,2013-01-30,4601,560,1,0,"0",0
"31",1,4,2013-01-31,4709,571,1,0,"0",0
"32",1,5,2013-02-01,5633,658,1,0,"0",0
"33",1,6,2013-02-02,5970,701,1,0,"0",0
"34",1,7,2013-02-03,0,0,0,0,"0",0
"35",1,1,2013-02-04,7032,762,1,1,"0",0
"36",1,2,2013-02-05,6049,678,1,1,"0",0
"37",1,3,2013-02-06,6140,693,1,1,"0",0
"38",1,4,2013-02-07,5499,675,1,1,"0",0
"39",1,5,2013-02-08,5681,630,1,1,"0",0
"40",1,6,2013-02-09,5370,656,1,0,"0",0
"41",1,7,2013-02-10,0,0,0,0,"0",0
"42",1,1,2013-02-11,4409,599,1,0,"0",0
"43",1,2,2013-02-12,4015,572,1,0,"0",0
"44",1,3,2013-02-13,4252,604,1,0,"0",0
"45",1,4,2013-02-14,4241,573,1,0,"0",0
"46",1,5,2013-02-15,4809,607,1,0,"0",0
"47",1,6,2013-02-16,6154,682,1,0,"0",0
"48",1,7,2013-02-17,0,0,0,0,"0",0
